audiocs:0:audiocs:class	controller
cpu:1:intrstat:crtime	85.1925
cpu:1:intrstat:level-1-count	858452491
cpu:1:intrstat:level-1-time	4588436286322
cpu:1:intrstat:level-10-count	3
cpu:1:intrstat:level-10-time	4927
cpu:1:intrstat:level-11-count	0
cpu:1:intrstat:level-11-time	0
cpu:1:intrstat:level-12-count	0
cpu:1:intrstat:level-12-time	0
cpu:1:intrstat:level-13-count	1369449
cpu:1:intrstat:level-13-time	920443404
cpu:1:intrstat:level-14-count	866910705
cpu:1:intrstat:level-14-time	1864107874414
cpu:1:intrstat:level-15-count	0
cpu:1:intrstat:level-15-time	0
cpu:1:intrstat:level-2-count	0
cpu:1:intrstat:level-2-time	0
cpu:1:intrstat:level-3-count	0
cpu:1:intrstat:level-3-time	0
cpu:1:intrstat:level-4-count	1823
cpu:1:intrstat:level-4-time	63267778
cpu:1:intrstat:level-5-count	0
cpu:1:intrstat:level-5-time	0
cpu:1:intrstat:level-6-count	51714075
cpu:1:intrstat:level-6-time	828236173900
cpu:1:intrstat:level-7-count	0
cpu:1:intrstat:level-7-time	0
cpu:1:intrstat:level-8-count	0
cpu:1:intrstat:level-8-time	0
cpu:1:intrstat:level-9-count	2539328135
cpu:1:intrstat:level-9-time	4608974912542
cpu:1:intrstat:snaptime	8464512.3631614
cpu:1:sys:bawrite	6045
cpu:1:sys:bread	788
cpu:1:sys:bwrite	18856
cpu:1:sys:canch	195
cpu:1:sys:class	misc
cpu:1:sys:cpu_load_intr	55
cpu:1:sys:cpu_nsec_idle	8398320186364915
cpu:1:sys:cpu_nsec_intr	1783610242822200
cpu:1:sys:cpu_nsec_kernel	55211362247994
cpu:1:sys:cpu_nsec_user	10895625900891
cpu:1:sys:cpu_ticks_idle	839832018
cpu:1:sys:cpu_ticks_kernel	5521136
cpu:1:sys:cpu_ticks_user	1089562
cpu:1:sys:cpu_ticks_wait	0
cpu:1:sys:cpumigrate	16614511
cpu:1:sys:crtime	85.192457
cpu:1:sys:idlethread	303851394
cpu:1:sys:intr	4317776681
cpu:1:sys:intrblk	548
cpu:1:sys:intrthread	3449496527
cpu:1:sys:inv_swtch	961705
cpu:1:sys:iowait	0
cpu:1:sys:lread	457212
cpu:1:sys:lwrite	39350
cpu:1:sys:mdmint	0
cpu:1:sys:modload	57
cpu:1:sys:modunload	0
cpu:1:sys:msg	0
cpu:1:sys:mutex_adenters	874201
cpu:1:sys:namei	16115653
cpu:1:sys:nthreads	349857
cpu:1:sys:outch	1563962
cpu:1:sys:phread	104
cpu:1:sys:phwrite	0
cpu:1:sys:procovf	0
cpu:1:sys:pswitch	625354454
cpu:1:sys:rawch	13789
cpu:1:sys:rcvint	0
cpu:1:sys:readch	1034305088
cpu:1:sys:rw_rdfails	58
cpu:1:sys:rw_wrfails	90
cpu:1:sys:sema	0
cpu:1:sys:snaptime	8464512.3647716
cpu:1:sys:syscall	222830456
cpu:1:sys:sysexec	13152
cpu:1:sys:sysfork	124146
cpu:1:sys:sysread	12537231
cpu:1:sys:sysvfork	784
cpu:1:sys:syswrite	11551411
cpu:1:sys:trap	19590968
cpu:1:sys:ufsdirblk	26374
cpu:1:sys:ufsiget	20822
cpu:1:sys:ufsinopage	0
cpu:1:sys:ufsipage	0
cpu:1:sys:wait_ticks_io	0
cpu:1:sys:writech	872522029
cpu:1:sys:xcalls	69038456
cpu:1:sys:xmtint	0
cpu:1:vm:anonfree	0
cpu:1:vm:anonpgin	0
cpu:1:vm:anonpgout	0
cpu:1:vm:as_fault	12642751
cpu:1:vm:class	misc
cpu:1:vm:cow_fault	6104716
cpu:1:vm:crtime	85.1924764
cpu:1:vm:dfree	0
cpu:1:vm:execfree	0
cpu:1:vm:execpgin	5878
cpu:1:vm:execpgout	0
cpu:1:vm:fsfree	0
cpu:1:vm:fspgin	12742
cpu:1:vm:fspgout	0
cpu:1:vm:hat_fault	0
cpu:1:vm:kernel_asflt	0
cpu:1:vm:maj_fault	10565
cpu:1:vm:pgfrec	477448
cpu:1:vm:pgin	11476
cpu:1:vm:pgout	0
cpu:1:vm:pgpgin	18620
cpu:1:vm:pgpgout	0
cpu:1:vm:pgrec	477448
cpu:1:vm:pgrrun	4
cpu:1:vm:pgswapin	0
cpu:1:vm:pgswapout	0
cpu:1:vm:prot_fault	6174305
cpu:1:vm:rev	0
cpu:1:vm:scan	55292
cpu:1:vm:snaptime	8464512.3675202
cpu:1:vm:softlock	1955
cpu:1:vm:swapin	0
cpu:1:vm:swapout	0
cpu:1:vm:zfod	795469
cpu_info:0:cpu_info0:brand	UltraSPARC-III
cpu_info:0:cpu_info0:chip_id	0
cpu_info:0:cpu_info0:class	misc
cpu_info:0:cpu_info0:clock_MHz	750
cpu_info:0:cpu_info0:core_id	0
cpu_info:0:cpu_info0:cpu_fru	hc:///component=Slot 0
cpu_info:0:cpu_info0:cpu_type	sparcv9
cpu_info:0:cpu_info0:crtime	82.766564
cpu_info:0:cpu_info0:device_ID	1119577710918
cpu_info:0:cpu_info0:fpu_type	sparcv9
cpu_info:0:cpu_info0:implementation	UltraSPARC-III (portid 0 impl 0x14 ver 0x34 clock 750 MHz)
cpu_info:0:cpu_info0:snaptime	8464512.36932
cpu_info:0:cpu_info0:state	on-line
cpu_info:0:cpu_info0:state_begin	1211478887
cpu_info:1:cpu_info1:brand	UltraSPARC-III
cpu_info:1:cpu_info1:chip_id	1
cpu_info:1:cpu_info1:class	misc
cpu_info:1:cpu_info1:clock_MHz	750
cpu_info:1:cpu_info1:core_id	1
cpu_info:1:cpu_info1:cpu_fru	hc:///component=Slot 1
cpu_info:1:cpu_info1:cpu_type	sparcv9
cpu_info:1:cpu_info1:crtime	85.1902356
cpu_info:1:cpu_info1:device_ID	1121495638242
cpu_info:1:cpu_info1:fpu_type	sparcv9
cpu_info:1:cpu_info1:implementation	UltraSPARC-III (portid 1 impl 0x14 ver 0x34 clock 750 MHz)
cpu_info:1:cpu_info1:snaptime	8464512.370142
cpu_info:1:cpu_info1:state	on-line
cpu_info:1:cpu_info1:state_begin	1211478889
cpu_stat:0:cpu_stat0:anonfree	0
cpu_stat:0:cpu_stat0:anonpgin	0
cpu_stat:0:cpu_stat0:anonpgout	0
cpu_stat:0:cpu_stat0:as_fault	26791736
cpu_stat:0:cpu_stat0:bawrite	829
cpu_stat:0:cpu_stat0:bread	830
cpu_stat:0:cpu_stat0:bwrite	5865
cpu_stat:0:cpu_stat0:canch	343
cpu_stat:0:cpu_stat0:class	misc
cpu_stat:0:cpu_stat0:cow_fault	15493953
cpu_stat:0:cpu_stat0:cpumigrate	16737419
cpu_stat:0:cpu_stat0:crtime	82.7666318
cpu_stat:0:cpu_stat0:dfree	6678
cpu_stat:0:cpu_stat0:execfree	1
cpu_stat:0:cpu_stat0:execpgin	6526
cpu_stat:0:cpu_stat0:execpgout	1
cpu_stat:0:cpu_stat0:fileovf	0
cpu_stat:0:cpu_stat0:fsfree	6677
cpu_stat:0:cpu_stat0:fspgin	21632
cpu_stat:0:cpu_stat0:fspgout	8348
cpu_stat:0:cpu_stat0:hat_fault	0
cpu_stat:0:cpu_stat0:idle	841281235
cpu_stat:0:cpu_stat0:idlethread	271360430
cpu_stat:0:cpu_stat0:inodeovf	0
cpu_stat:0:cpu_stat0:intr	1069547763
cpu_stat:0:cpu_stat0:intrblk	9412
cpu_stat:0:cpu_stat0:intrthread	210788380
cpu_stat:0:cpu_stat0:inv_swtch	784638
cpu_stat:0:cpu_stat0:iowait	0
cpu_stat:0:cpu_stat0:kernel	3585138
cpu_stat:0:cpu_stat0:kernel_asflt	0
cpu_stat:0:cpu_stat0:lread	294769
cpu_stat:0:cpu_stat0:lwrite	29973
cpu_stat:0:cpu_stat0:maj_fault	12471
cpu_stat:0:cpu_stat0:mdmint	0
cpu_stat:0:cpu_stat0:modload	119
cpu_stat:0:cpu_stat0:modunload	0
cpu_stat:0:cpu_stat0:msg	0
cpu_stat:0:cpu_stat0:mutex_adenters	1063657
cpu_stat:0:cpu_stat0:namei	12640989
cpu_stat:0:cpu_stat0:nthreads	223821
cpu_stat:0:cpu_stat0:outch	2577554
cpu_stat:0:cpu_stat0:pgfrec	569757
cpu_stat:0:cpu_stat0:pgin	13549
cpu_stat:0:cpu_stat0:pgout	5567
cpu_stat:0:cpu_stat0:pgpgin	28158
cpu_stat:0:cpu_stat0:pgpgout	8349
cpu_stat:0:cpu_stat0:pgrec	571428
cpu_stat:0:cpu_stat0:pgrrun	0
cpu_stat:0:cpu_stat0:pgswapin	0
cpu_stat:0:cpu_stat0:pgswapout	0
cpu_stat:0:cpu_stat0:phread	175
cpu_stat:0:cpu_stat0:phwrite	0
cpu_stat:0:cpu_stat0:physio	0
cpu_stat:0:cpu_stat0:procovf	0
cpu_stat:0:cpu_stat0:prot_fault	14402980
cpu_stat:0:cpu_stat0:pswitch	554310396
cpu_stat:0:cpu_stat0:rawch	10538
cpu_stat:0:cpu_stat0:rcvint	0
cpu_stat:0:cpu_stat0:readch	1430464179
cpu_stat:0:cpu_stat0:rev	0
cpu_stat:0:cpu_stat0:rw_rdfails	51
cpu_stat:0:cpu_stat0:rw_wrfails	124
cpu_stat:0:cpu_stat0:scan	0
cpu_stat:0:cpu_stat0:sema	0
cpu_stat:0:cpu_stat0:snaptime	8464512.3709422
cpu_stat:0:cpu_stat0:softlock	3480
cpu_stat:0:cpu_stat0:swap	0
cpu_stat:0:cpu_stat0:swapin	0
cpu_stat:0:cpu_stat0:swapout	0
cpu_stat:0:cpu_stat0:syscall	142365970
cpu_stat:0:cpu_stat0:sysexec	14286
cpu_stat:0:cpu_stat0:sysfork	89080
cpu_stat:0:cpu_stat0:sysread	15368158
cpu_stat:0:cpu_stat0:sysvfork	916
cpu_stat:0:cpu_stat0:syswrite	8209071
cpu_stat:0:cpu_stat0:trap	42200687
cpu_stat:0:cpu_stat0:ufsdirblk	22122
cpu_stat:0:cpu_stat0:ufsiget	17640
cpu_stat:0:cpu_stat0:ufsinopage	0
cpu_stat:0:cpu_stat0:ufsipage	0
cpu_stat:0:cpu_stat0:user	1578593
cpu_stat:0:cpu_stat0:wait	0
cpu_stat:0:cpu_stat0:wait_io	0
cpu_stat:0:cpu_stat0:wait_pio	0
cpu_stat:0:cpu_stat0:wait_swap	0
cpu_stat:0:cpu_stat0:writech	736780774
cpu_stat:0:cpu_stat0:xcalls	63577549
cpu_stat:0:cpu_stat0:xmtint	0
cpu_stat:0:cpu_stat0:zfod	1049715
cpu_stat:1:cpu_stat1:anonfree	0
cpu_stat:1:cpu_stat1:anonpgin	0
cpu_stat:1:cpu_stat1:anonpgout	0
cpu_stat:1:cpu_stat1:as_fault	12642752
cpu_stat:1:cpu_stat1:bawrite	6045
cpu_stat:1:cpu_stat1:bread	788
cpu_stat:1:cpu_stat1:bwrite	18856
cpu_stat:1:cpu_stat1:canch	195
cpu_stat:1:cpu_stat1:class	misc
cpu_stat:1:cpu_stat1:cow_fault	6104716
cpu_stat:1:cpu_stat1:cpumigrate	16614511
cpu_stat:1:cpu_stat1:crtime	85.1924908
cpu_stat:1:cpu_stat1:dfree	0
cpu_stat:1:cpu_stat1:execfree	0
cpu_stat:1:cpu_stat1:execpgin	5878
cpu_stat:1:cpu_stat1:execpgout	0
cpu_stat:1:cpu_stat1:fileovf	0
cpu_stat:1:cpu_stat1:fsfree	0
cpu_stat:1:cpu_stat1:fspgin	12742
cpu_stat:1:cpu_stat1:fspgout	0
cpu_stat:1:cpu_stat1:hat_fault	0
cpu_stat:1:cpu_stat1:idle	839832018
cpu_stat:1:cpu_stat1:idlethread	303851394
cpu_stat:1:cpu_stat1:inodeovf	0
cpu_stat:1:cpu_stat1:intr	22809390
cpu_stat:1:cpu_stat1:intrblk	548
cpu_stat:1:cpu_stat1:intrthread	3449496531
cpu_stat:1:cpu_stat1:inv_swtch	961705
cpu_stat:1:cpu_stat1:iowait	0
cpu_stat:1:cpu_stat1:kernel	5521136
cpu_stat:1:cpu_stat1:kernel_asflt	0
cpu_stat:1:cpu_stat1:lread	457212
cpu_stat:1:cpu_stat1:lwrite	39350
cpu_stat:1:cpu_stat1:maj_fault	10565
cpu_stat:1:cpu_stat1:mdmint	0
cpu_stat:1:cpu_stat1:modload	57
cpu_stat:1:cpu_stat1:modunload	0
cpu_stat:1:cpu_stat1:msg	0
cpu_stat:1:cpu_stat1:mutex_adenters	874201
cpu_stat:1:cpu_stat1:namei	16115653
cpu_stat:1:cpu_stat1:nthreads	349857
cpu_stat:1:cpu_stat1:outch	1563962
cpu_stat:1:cpu_stat1:pgfrec	477448
cpu_stat:1:cpu_stat1:pgin	11476
cpu_stat:1:cpu_stat1:pgout	0
cpu_stat:1:cpu_stat1:pgpgin	18620
cpu_stat:1:cpu_stat1:pgpgout	0
cpu_stat:1:cpu_stat1:pgrec	477448
cpu_stat:1:cpu_stat1:pgrrun	4
cpu_stat:1:cpu_stat1:pgswapin	0
cpu_stat:1:cpu_stat1:pgswapout	0
cpu_stat:1:cpu_stat1:phread	104
cpu_stat:1:cpu_stat1:phwrite	0
cpu_stat:1:cpu_stat1:physio	0
cpu_stat:1:cpu_stat1:procovf	0
cpu_stat:1:cpu_stat1:prot_fault	6174305
cpu_stat:1:cpu_stat1:pswitch	625354454
cpu_stat:1:cpu_stat1:rawch	13789
cpu_stat:1:cpu_stat1:rcvint	0
cpu_stat:1:cpu_stat1:readch	1034305088
cpu_stat:1:cpu_stat1:rev	0
cpu_stat:1:cpu_stat1:rw_rdfails	58
cpu_stat:1:cpu_stat1:rw_wrfails	90
cpu_stat:1:cpu_stat1:scan	55292
cpu_stat:1:cpu_stat1:sema	0
cpu_stat:1:cpu_stat1:snaptime	8464512.3751486
cpu_stat:1:cpu_stat1:softlock	1955
cpu_stat:1:cpu_stat1:swap	0
cpu_stat:1:cpu_stat1:swapin	0
cpu_stat:1:cpu_stat1:swapout	0
cpu_stat:1:cpu_stat1:syscall	222830466
cpu_stat:1:cpu_stat1:sysexec	13152
cpu_stat:1:cpu_stat1:sysfork	124146
cpu_stat:1:cpu_stat1:sysread	12537231
cpu_stat:1:cpu_stat1:sysvfork	784
cpu_stat:1:cpu_stat1:syswrite	11551412
cpu_stat:1:cpu_stat1:trap	19590970
cpu_stat:1:cpu_stat1:ufsdirblk	26374
cpu_stat:1:cpu_stat1:ufsiget	20822
cpu_stat:1:cpu_stat1:ufsinopage	0
cpu_stat:1:cpu_stat1:ufsipage	0
cpu_stat:1:cpu_stat1:user	1089563
cpu_stat:1:cpu_stat1:wait	0
cpu_stat:1:cpu_stat1:wait_io	0
cpu_stat:1:cpu_stat1:wait_pio	0
cpu_stat:1:cpu_stat1:wait_swap	0
cpu_stat:1:cpu_stat1:writech	872530221
cpu_stat:1:cpu_stat1:xcalls	69038456
cpu_stat:1:cpu_stat1:xmtint	0
cpu_stat:1:cpu_stat1:zfod	795470
dls:0:dls_stat:class	net
dls:0:dls_stat:crtime	84.0830104
dls:0:dls_stat:snaptime	8464512.3792934
dls:0:dls_stat:soft_ring_pkt_drop	0
ecpp:0:ecpp0:backchan	0
ecpp:0:ecpp0:class	misc
ecpp:0:ecpp0:crtime	7784068.8028824
ecpp:0:ecpp0:ctx_cf	0
ecpp:0:ecpp0:ctx_obytes	0
ecpp:0:ecpp0:ctxpio_obytes	0
ecpp:0:ecpp0:diag_obytes	0
ecpp:0:ecpp0:ecp_ibytes	0
ecpp:0:ecpp0:ecp_obytes	0
ecpp:0:ecpp0:epp_ibytes	0
ecpp:0:ecpp0:epp_obytes	0
ecpp:0:ecpp0:iomode	0
ecpp:0:ecpp0:isr_reattempt_high	0
ecpp:0:ecpp0:joblen	0
ecpp:0:ecpp0:mode	0
ecpp:0:ecpp0:nib_ibytes	0
ecpp:0:ecpp0:phase	0
ecpp:0:ecpp0:snaptime	8464512.3796306
ecpp:0:ecpp0:state	0
ecpp:0:ecpp0:to_ctx	0
ecpp:0:ecpp0:to_diag	0
ecpp:0:ecpp0:to_ecp	0
ecpp:0:ecpp0:to_epp	0
ecpp:0:ecpp0:to_nib	0
ecpp:0:ecpp0:xfer_tout	0
ecpp:0:ecppc0:class	controller
ecpp:0:ecppc0:crtime	7784068.8028486
ecpp:0:ecppc0:hard	0
ecpp:0:ecppc0:multiple_service	0
ecpp:0:ecppc0:snaptime	8464512.3812542
ecpp:0:ecppc0:soft	0
ecpp:0:ecppc0:spurious	0
ecpp:0:ecppc0:watchdog	0
eri:0:eri0:allocbfail	0
eri:0:eri0:bad_pkts	0
eri:0:eri0:brdcstrcv	66275348
eri:0:eri0:brdcstxmt	39802
eri:0:eri0:class	net
eri:0:eri0:collisions	0
eri:0:eri0:crtime	93.5027306
eri:0:eri0:defer_timer_exp	0
eri:0:eri0:drop	0
eri:0:eri0:excessive_coll	0
eri:0:eri0:first_coll	0
eri:0:eri0:ierrors	0
eri:0:eri0:ifspeed	100000000
eri:0:eri0:inits	2
eri:0:eri0:ipackets	68361334
eri:0:eri0:ipackets64	68361334
eri:0:eri0:jabber	0
eri:0:eri0:late_coll	0
eri:0:eri0:link_duplex	2
eri:0:eri0:link_up	1
eri:0:eri0:multircv	24
eri:0:eri0:multixmt	0
eri:0:eri0:no_free_rx_desc	0
eri:0:eri0:no_tmds	0
eri:0:eri0:nocanput	0
eri:0:eri0:nocarrier	1
eri:0:eri0:norcvbuf	0
eri:0:eri0:noxmtbuf	0
eri:0:eri0:obytes	496670924
eri:0:eri0:obytes64	496670924
eri:0:eri0:oerrors	0
eri:0:eri0:opackets	2263824
eri:0:eri0:opackets64	2263824
eri:0:eri0:parity_error	0
eri:0:eri0:pause_off_cnt	0
eri:0:eri0:pause_on_cnt	0
eri:0:eri0:pause_rcv_cnt	0
eri:0:eri0:pause_time_cnt	0
eri:0:eri0:pci_data_parity_err	0
eri:0:eri0:pci_det_parity_err	0
eri:0:eri0:pci_error_interrupt	0
eri:0:eri0:pci_rcvd_master_abort	0
eri:0:eri0:pci_rcvd_target_abort	0
eri:0:eri0:pci_signal_system_err	0
eri:0:eri0:pci_signal_target_abort	0
eri:0:eri0:peak_attempt_cnt	0
eri:0:eri0:pmcap	4
eri:0:eri0:rbytes	730811550
eri:0:eri0:rbytes64	5025778846
eri:0:eri0:runt	0
eri:0:eri0:rx_align_err	0
eri:0:eri0:rx_code_viol_err	0
eri:0:eri0:rx_corr	0
eri:0:eri0:rx_crc_err	0
eri:0:eri0:rx_hang	0
eri:0:eri0:rx_inits	1
eri:0:eri0:rx_length_err	0
eri:0:eri0:rx_overflow	0
eri:0:eri0:rxtag_error	0
eri:0:eri0:snaptime	8464512.3818398
eri:0:eri0:toolong_pkts	0
eri:0:eri0:tx_hang	0
eri:0:eri0:tx_inits	1
eri:0:eri0:txmac_maxpkt_err	0
eri:0:eri0:txmac_urun	0
eri:0:eri0:unknown_fatal	0
fssnap:0:highwater:class	misc
fssnap:0:highwater:crtime	7784069.7194418
fssnap:0:highwater:highwater	0
fssnap:0:highwater:snaptime	8464512.3859856
icmp:0:rawip:class	mib2
icmp:0:rawip:crtime	84.2123906
icmp:0:rawip:inCksumErrs	0
icmp:0:rawip:inDatagrams	0
icmp:0:rawip:inErrors	0
icmp:0:rawip:outDatagrams	0
icmp:0:rawip:outErrors	0
icmp:0:rawip:snaptime	8464512.3863138
ip:0:icmp:class	mib2
ip:0:icmp:crtime	83.9778114
ip:0:icmp:inAddrMaskReps	0
ip:0:icmp:inAddrMasks	4
ip:0:icmp:inBadRedirects	0
ip:0:icmp:inChksumErrs	0
ip:0:icmp:inDestUnreachs	110
ip:0:icmp:inEchoReps	3
ip:0:icmp:inEchos	830
ip:0:icmp:inErrors	0
ip:0:icmp:inFragNeeded	0
ip:0:icmp:inMsgs	979
ip:0:icmp:inOverFlows	0
ip:0:icmp:inParmProbs	0
ip:0:icmp:inRedirects	0
ip:0:icmp:inSrcQuenchs	0
ip:0:icmp:inTimeExcds	8
ip:0:icmp:inTimestampReps	0
ip:0:icmp:inTimestamps	16
ip:0:icmp:inUnknowns	2
ip:0:icmp:outAddrMaskReps	4
ip:0:icmp:outAddrMasks	0
ip:0:icmp:outDestUnreachs	1125
ip:0:icmp:outDrops	2
ip:0:icmp:outEchoReps	830
ip:0:icmp:outEchos	0
ip:0:icmp:outErrors	0
ip:0:icmp:outFragNeeded	0
ip:0:icmp:outMsgs	1959
ip:0:icmp:outParmProbs	0
ip:0:icmp:outRedirects	0
ip:0:icmp:outSrcQuenchs	0
ip:0:icmp:outTimeExcds	0
ip:0:icmp:outTimestampReps	0
ip:0:icmp:outTimestamps	0
ip:0:icmp:snaptime	8464512.3869344
ip:0:ip:addrEntrySize	100
ip:0:ip:class	mib2
ip:0:ip:crtime	83.9777826
ip:0:ip:defaultTTL	255
ip:0:ip:forwDatagrams	0
ip:0:ip:forwProhibits	0
ip:0:ip:forwarding	2
ip:0:ip:fragCreates	0
ip:0:ip:fragFails	0
ip:0:ip:fragOKs	0
ip:0:ip:inAddrErrors	0
ip:0:ip:inCksumErrs	0
ip:0:ip:inDelivers	2291017
ip:0:ip:inDiscards	7
ip:0:ip:inErrs	0
ip:0:ip:inHdrErrors	1
ip:0:ip:inIPv6	0
ip:0:ip:inReceives	10156614
ip:0:ip:inUnknownProtos	2
ip:0:ip:ipsecInFailed	0
ip:0:ip:ipsecInSucceeded	0
ip:0:ip:memberEntrySize	28
ip:0:ip:netToMediaEntrySize	120
ip:0:ip:noPorts	7856445
ip:0:ip:outDiscards	0
ip:0:ip:outIPv6	0
